id,code,name_in_thai,name_in_english,province_id
124,1907,"ดอนพุด","Don Phut",10
125,1908,"หนองโดน","Nong Don",10
126,1909,"พระพุทธบาท","Phra Phutthabat",10
127,1910,"เสาไห้","Sao Hai",10
128,1911,"มวกเหล็ก","Muak Lek",10
129,1912,"วังม่วง","Wang Muang",10
130,1913,"เฉลิมพระเกียรติ","Chaloem Phra Kiet",10
131,2001,"เมืองชลบุรี","Mueang Chon Buri",11
132,2002,"บ้านบึง","Ban Bueng",11
133,2003,"หนองใหญ่","Nong Yai",11
134,2004,"บางละมุง","Bang Lamung",11
135,2005,"พานทอง","Phan Thong",11
136,2006,"พนัสนิคม","Phanat Nikhom",11
137,2007,"ศรีราชา","Si Racha",11
138,2008,"เกาะสีชัง","Ko Sichang",11
139,2009,"สัตหีบ","Sattahip",11
140,2010,"บ่อทอง","Bo Thong",11
141,2011,"เกาะจันทร์","Ko Chan",11
142,2101,"เมืองระยอง","Mueang Rayong",12
143,2102,"บ้านฉาง","Ban Chang",12
144,2103,"แกลง","Klaeng",12
145,2104,"วังจันทร์","Wang Chan",12
146,2105,"บ้านค่าย","Ban Khai",12
147,2106,"ปลวกแดง","Pluak Daeng",12
148,2107,"เขาชะเมา","Khao Chamao",12
149,2108,"นิคมพัฒนา","Nikhom Phatthana",12
150,2201,"เมืองจันทบุรี","Mueang Chanthaburi",13
151,2202,"ขลุง","Khlung",13
152,2203,"ท่าใหม่","Tha Mai",13
153,2204,"โป่งน้ำร้อน","Pong Nam Ron",13
154,2205,"มะขาม","Makham",13
155,2206,"แหลมสิงห์","Laem Sing",13
156,2207,"สอยดาว","Soi Dao",13
157,2208,"แก่งหางแมว","Kaeng Hang Maeo",13
158,2209,"นายายอาม","Na Yai Am",13
159,2210,"เขาคิชฌกูฏ","Khao Khitchakut",13
160,2301,"เมืองตราด","Mueang Trat",14
161,2302,"คลองใหญ่","Khlong Yai",14
162,2303,"เขาสมิง","Khao Saming",14
163,2304,"บ่อไร่","Bo Rai",14
164,2305,"แหลมงอบ","Laem Ngop",14
165,2306,"เกาะกูด","Ko Kut",14
166,2307,"เกาะช้าง","Ko Chang",14
167,2401,"เมืองฉะเชิงเทรา","Mueang Chachoengsao",15
168,2402,"บางคล้า","Bang Khla",15
169,2403,"บางน้ำเปรี้ยว","Bang Nam Priao",15
170,2404,"บางปะกง","Bang Pakong",15
171,2405,"บ้านโพธิ์","Ban Pho",15
172,2406,"พนมสารคาม","Phanom Sarakham",15
173,2407,"ราชสาส์น","Ratchasan",15
174,2408,"สนามชัยเขต","Sanam Chai Khet",15
175,2409,"แปลงยาว","Pleang Yao",15
176,2410,"ท่าตะเกียบ","Tha Takiap",15
177,2411,"คลองเขื่อน","Khlong Khuean",15
178,2501,"เมืองปราจีนบุรี","Mueang Prachin Buri",16
179,2502,"กบินทร์บุรี","Kabin Buri",16
180,2503,"นาดี","Na Di",16
181,2506,"บ้านสร้าง","Ban Sang",16
182,2507,"ประจันตคาม","Prachantakham",16
183,2508,"ศรีมหาโพธิ","Si Maha Phot",16
184,2509,"ศรีมโหสถ","Si Mahosot",16
185,2601,"เมืองนครนายก","Mueang Nakhon Nayok",17
186,2602,"ปากพลี","Pak Phli",17
187,2603,"บ้านนา","Ban Na",17
188,2604,"องครักษ์","Ongkharak",17
189,2701,"เมืองสระแก้ว","Mueang Sa Kaeo",18
190,2702,"คลองหาด","Khlong Hat",18
191,2703,"ตาพระยา","Ta Phraya",18
192,2704,"วังน้ำเย็น","Wang Nam Yen",18
193,2705,"วัฒนานคร","Watthana Nakhon",18
194,2706,"อรัญประเทศ","Aranyaprathet",18
195,2707,"เขาฉกรรจ์","Khao Chakan",18
196,2708,"โคกสูง","Khok Sung",18
197,2709,"วังสมบูรณ์","Wang Sombun",18
198,3001,"เมืองนครราชสีมา","Mueang Nakhon Ratchasima",19
199,3002,"ครบุรี","Khon Buri",19
200,3003,"เสิงสาง","Soeng Sang",19
201,3004,"คง","Khong",19
202,3005,"บ้านเหลื่อม","Ban Lueam",19
203,3006,"จักราช","Chakkarat",19
204,3007,"โชคชัย","Chok Chai",19
205,3008,"ด่านขุนทด","Dan Khun Thot",19
206,3009,"โนนไทย","Non Thai",19
207,3010,"โนนสูง","Non Sung",19
208,3011,"ขามสะแกแสง","Kham Sakaesaeng",19
209,3012,"บัวใหญ่","Bua Yai",19
210,3013,"ประทาย","Prathai",19
211,3014,"ปักธงชัย","Pak Thong Chai",19
212,3015,"พิมาย","Phimai",19
213,3016,"ห้วยแถลง","Huai Thalaeng",19
214,3017,"ชุมพวง","Chum Phuang",19
215,3018,"สูงเนิน","Sung Noen",19
216,3019,"ขามทะเลสอ","Kham Thale So",19
217,3020,"สีคิ้ว","Si Khio",19
218,3021,"ปากช่อง","Pak Chong",19
219,3022,"หนองบุญมาก","Nong Bunmak",19
220,3023,"แก้งสนามนาง","Kaeng Sanam Nang",19
221,3024,"โนนแดง","Non Daeng",19
222,3025,"วังน้ำเขียว","Wang Nam Khiao",19
223,3026,"เทพารักษ์","Thepharak",19
224,3027,"เมืองยาง","Mueang Yang",19
225,3028,"พระทองคำ","Phra Thong Kham",19
226,3029,"ลำทะเมนชัย","Lamtaman Chai",19
227,3030,"บัวลาย","Bua Lai",19
228,3031,"สีดา","Sida",19
229,3032,"เฉลิมพระเกียรติ","Chaloem Phra Kiet",19
230,3101,"เมืองบุรีรัมย์","Mueang Buri Ram",20
231,3102,"คูเมือง","Khu Mueang",20
232,3103,"กระสัง","Krasang",20
233,3104,"นางรอง","Nang Rong",20
234,3105,"หนองกี่","Nong Ki",20
235,3106,"ละหานทราย","Lahan Sai",20
236,3107,"ประโคนชัย","Prakhon Chai",20
237,3108,"บ้านกรวด","Ban Kruat",20
238,3109,"พุทไธสง","Phutthaisong",20
239,3110,"ลำปลายมาศ","Lam Plai Mat",20
240,3111,"สตึก","Satuek",20
241,3112,"ปะคำ","Pakham",20
242,3113,"นาโพธิ์","Na Pho",20
243,3114,"หนองหงส์","Nong Hong",20
244,3115,"พลับพลาชัย","Phlapphla Chai",20
245,3116,"ห้วยราช","Huai Rat",20
246,3117,"โนนสุวรรณ","Non Din Daeng",20
247,3118,"ชำนิ","Chamni",20
248,3119,"บ้านใหม่ไชยพจน์","Ban Mai Chaiyaphot",20
249,3120,"โนนดินแดง","Non Din Daeng",20
250,3121,"บ้านด่าน","Ban Dan",20
251,3122,"แคนดง","Khaen Dong",20
252,3123,"เฉลิมพระเกียรติ","Chaloem Phra Kiet",20
253,3201,"เมืองสุรินทร์","Mueang Surin",21
254,3202,"ชุมพลบุรี","Chumphon Buri",21
255,3203,"ท่าตูม","Tha Tum",21
256,3204,"จอมพระ","Chom Phra",21
257,3205,"ปราสาท","Prasat",21
258,3206,"กาบเชิง","Kap Choeng",21
259,3207,"รัตนบุรี","Rattanaburi",21
260,3208,"สนม","Sanom",21
261,3209,"ศีขรภูมิ","Sikhoraphum",21
262,3210,"สังขะ","Sangkha",21
263,3211,"ลำดวน","Lamduan",21
264,3212,"สำโรงทาบ","Samrong Thap",21
265,3213,"บัวเชด","Buachet",21
266,3214,"พนมดงรัก","Phanom Dong Rak",21
267,3215,"ศรีณรงค์","Si Narong",21
268,3216,"เขวาสินรินทร์","Khwao Sinarin",21
269,3217,"โนนนารายณ์","Non Narai",21
270,3301,"เมืองศรีสะเกษ","Mueang Si Sa Ket",22
271,3302,"ยางชุมน้อย","Yang Chum Noi",22
272,3303,"กันทรารมย์","Kanthararom",22
273,3304,"กันทรลักษ์","Kantharalak",22
274,3305,"ขุขันธ์","Khukhan",22
275,3306,"ไพรบึง","Phrai Bueng",22
276,3307,"ปรางค์กู่","Prang Ku",22
277,3308,"ขุนหาญ","Khun Han",22
278,3309,"ราษีไศล","Rasi Salai",22
279,3310,"อุทุมพรพิสัย","Uthumphon Phisai",22
280,3311,"บึงบูรพ์","Bueng Bun",22
281,3312,"ห้วยทับทัน","Huai Thap Than",22
282,3313,"โนนคูณ","Non Khun",22
283,3314,"ศรีรัตนะ","Si Rattana",22
284,3315,"น้ำเกลี้ยง","Nam Kliang",22
285,3316,"วังหิน","Wang Hin",22
286,3317,"ภูสิงห์","Phu Sing",22
287,3318,"เมืองจันทร์","Mueang Chan",22
288,3319,"เบญจลักษ์","Benchalak",22
289,3320,"พยุห์","Phayu",22
290,3321,"โพธิ์ศรีสุวรรณ","Pho Si Suwan",22
291,3322,"ศิลาลาด","Sila Lat",22
292,3401,"เมืองอุบลราชธานี","Mueang Ubon Ratchathani",23
293,3402,"ศรีเมืองใหม่","Si Mueang Mai",23
294,3403,"โขงเจียม","Khong Chiam",23
295,3404,"เขื่องใน","Khueang Nai",23
296,3405,"เขมราฐ","Khemarat",23
297,3407,"เดชอุดม","Det Udom",23
298,3408,"นาจะหลวย","Na Chaluai",23
299,3409,"น้ำยืน","Nam Yuen",23
300,3410,"บุณฑริก","Boontharik",23
301,3411,"ตระการพืชผล","Trakan Phuet Phon",23
302,3412,"กุดข้าวปุ้น","Kut Khaopun",23
303,3414,"ม่วงสามสิบ","Muang Sam Sip",23
304,3415,"วารินชำราบ","Warin Chamrap",23
305,3419,"พิบูลมังสาหาร","Phibun Mangsahan",23
306,3420,"ตาลสุม","Tan Sum",23
307,3421,"โพธิ์ไทร","Pho Sai",23
308,3422,"สำโรง","Samrong",23
309,3424,"ดอนมดแดง","Don Mot Daeng",23
310,3425,"สิรินธร","Sirindhorn",23
311,3426,"ทุ่งศรีอุดม","Thung Si Udom",23
312,3429,"นาเยีย","Na Yia",23
313,3430,"นาตาล","Na Tan",23
314,3431,"เหล่าเสือโก้ก","Lao Suea Kok",23
315,3432,"สว่างวีระวงศ์","Sawang Wirawong",23
316,3433,"น้ำขุ่น","Nam Khun",23
317,3501,"เมืองยโสธร","Mueang Yasothon",24
318,3502,"ทรายมูล","Sai Mun",24
319,3503,"กุดชุม","Kut Chum",24
320,3504,"คำเขื่อนแก้ว","Kham Khuean Kaeo",24
321,3505,"ป่าติ้ว","Pa Tio",24
322,3506,"มหาชนะชัย","Maha Chana Chai",24
323,3507,"ค้อวัง","Kho Wang",24
324,3508,"เลิงนกทา","Loeng Nok Tha",24
325,3509,"ไทยเจริญ","Thai Charoen",24
